player,team,YAR,DVOA,VOA,passes,yards,Eyds,TD,catch_rate,fum,year,catches,yds_per_catch,DYAR_per_catch,Eyds_per_catch,DYAR
J.Grimes,HOU,-4,-0.182,-0.174,18,94,73,0,0.72,0,2016,13,7.3,-0.4,5.6,-5
Dw.Washington,DET,-14,-0.201,-0.307,15,62,49,0,0.67,0,2016,10,6.2,-0.5,4.9,-5
J.Kuhn,NO,-6,-0.202,-0.187,20,70,74,1,0.80,0,2016,16,4.4,-0.5,4.6,-8
W.Smallwood,PHI,-17,-0.276,-0.408,13,55,27,0,0.46,0,2016,6,9.2,-1.5,4.5,-9
B.Cunningham,LARM,-17,-0.240,-0.283,21,91,58,0,0.76,0,2016,16,5.7,-0.8,3.6,-12
K.Barner,PHI,-9,-0.407,-0.300,11,42,9,0,0.45,0,2016,5,8.5,-3.0,1.8,-15
M.Gillislee,BUF,-10,-0.480,-0.330,11,50,0,1,0.82,0,2016,9,5.5,-2.0,0.0,-18
S.Vereen,NYG,-24,-0.336,-0.382,19,94,30,0,0.58,1,2016,11,8.5,-1.7,2.7,-19
D.McCluster,SD,-14,-0.520,-0.379,11,36,-4,0,0.64,0,2016,7,5.1,-3.3,-0.6,-23
D.Lewis,NE,-22,-0.319,-0.298,24,94,47,0,0.71,0,2016,17,5.5,-1.5,2.8,-25
C.J.Spiller,2TM,-30,-0.595,-0.590,13,50,-15,1,0.46,1,2016,6,8.4,-5.0,-2.5,-30
K.Farrow,SD,-29,-0.545,-0.479,16,70,-11,0,0.81,1,2016,13,5.4,-2.7,-0.8,-35
A.Blue,HOU,-40,-0.597,-0.574,16,40,-21,0,0.75,0,2016,12,3.3,-3.5,-1.8,-42
J.Stewart,CAR,-63,-0.701,-0.669,21,60,-53,0,0.38,0,2016,8,7.5,-8.4,-6.6,-67
A.Kamara,NO,277,0.364,0.363,100,826,969,5,0.81,0,2017,81,10.2,3.4,12.0,278
T.Gurley,LARM,258,0.359,0.405,87,788,826,6,0.74,0,2017,64,12.2,3.7,12.8,236
C.Thompson,WAS,201,0.673,0.595,54,510,657,4,0.72,0,2017,39,13.1,5.7,16.9,223
L.Miller,HOU,137,0.427,0.442,45,327,446,3,0.80,0,2017,36,9.1,3.7,12.4,134
C.McCaffrey,CAR,135,0.057,0.068,113,651,730,5,0.71,0,2017,80,8.1,1.6,9.1,128
T.Coleman,ATL,97,0.412,0.303,39,299,403,3,0.69,0,2017,27,11.1,4.5,15.0,121
Du.Johnson,CLE,123,0.067,0.091,94,697,611,3,0.80,2,2017,75,9.3,1.5,8.1,110
R.Burkhead,NE,99,0.337,0.321,36,254,365,3,0.83,0,2017,30,8.5,3.4,12.2,102
K.Hunt,KC,107,0.156,0.168,63,455,460,3,0.84,0,2017,53,8.6,1.9,8.7,102
D.Freeman,ATL,98,0.236,0.220,47,317,406,1,0.77,0,2017,36,8.8,2.8,11.2,102
L.Bell,PIT,99,0.025,0.021,106,655,652,2,0.80,1,2017,85,7.7,1.2,7.7,101
D.Lewis,NE,89,0.320,0.314,35,214,326,3,0.91,0,2017,32,6.7,2.8,10.2,90
J.White,NE,87,0.064,0.067,72,429,475,3,0.78,0,2017,56,7.6,1.5,8.5,86
J.Richard,OAK,82,0.333,0.310,36,266,308,1,0.75,0,2017,27,9.9,3.2,11.4,86
S.Perine,WAS,78,0.426,0.387,25,184,280,1,0.92,0,2017,23,8.0,3.7,12.2,84
A.Ekeler,LACH,85,0.271,0.278,35,279,320,3,0.77,1,2017,27,10.4,3.1,11.9,84
J.Williams,GB,81,0.299,0.284,34,262,310,2,0.74,0,2017,25,10.4,3.3,12.3,84
M.Gordon,LACH,69,0.030,0.014,83,476,482,4,0.70,0,2017,58,8.2,1.3,8.3,76
B.Cunningham,CHI,74,0.396,0.406,26,240,246,2,0.77,1,2017,20,12.0,3.6,12.3,72
A.Ellington,2TM,59,0.053,0.054,59,369,343,1,0.66,0,2017,39,9.5,1.5,8.8,59
L.Fournette,JAC,67,0.072,0.105,48,302,317,1,0.75,0,2017,36,8.4,1.6,8.8,58
J.D.McKissic,SEA,45,0.039,0.025,47,267,297,2,0.74,0,2017,35,7.7,1.4,8.5,49
J.McKinnon,MIN,74,-0.004,0.068,68,421,355,2,0.75,0,2017,51,8.3,0.9,7.0,48
L.McCoy,BUF,53,-0.018,-0.003,78,448,378,2,0.77,0,2017,60,7.5,0.8,6.3,48
D.Booker,DEN,37,0.077,0.037,38,277,243,0,0.79,1,2017,30,9.2,1.5,8.1,45
M.Forte,NYJ,57,0.056,0.112,45,293,254,1,0.82,0,2017,37,7.9,1.2,6.9,44
Da.Williams,MIA,42,0.122,0.113,28,155,210,1,0.71,0,2017,20,7.8,2.2,10.6,44
K.Juszczyk,SF,56,0.037,0.098,42,317,253,1,0.79,2,2017,33,9.6,1.2,7.6,41
M.Mack,IND,55,0.092,0.194,33,225,197,1,0.64,0,2017,21,10.7,1.8,9.3,38
T.Riddick,DET,42,-0.046,-0.033,71,444,362,2,0.75,0,2017,53,8.3,0.7,6.8,37
F.Gore,IND,41,0.041,0.072,38,245,211,1,0.76,0,2017,29,8.5,1.2,7.3,35
A.Abdullah,DET,15,0.017,-0.069,35,162,219,1,0.71,0,2017,25,6.5,1.3,8.8,33
C.Ivory,JAC,23,0.044,0.020,28,175,162,1,0.75,0,2017,21,8.3,1.3,7.7,27
D.Murray,TEN,40,-0.033,0.030,47,266,224,1,0.83,0,2017,39,6.8,0.6,5.7,25
T.Montgomery,GB,3,-0.037,-0.124,31,173,170,1,0.74,0,2017,23,7.5,0.8,7.4,19
E.McGuire,NYJ,29,-0.014,0.066,26,177,137,1,0.65,0,2017,17,10.5,1.1,8.1,18
M.Breida,SF,17,-0.048,-0.040,37,174,158,1,0.59,0,2017,22,8.0,0.7,7.2,16
J.Mixon,CIN,39,-0.068,0.067,35,307,163,0,0.89,2,2017,31,9.9,0.4,5.2,13
M.Ingram,NO,5,-0.107,-0.127,71,418,317,0,0.82,1,2017,58,7.2,0.2,5.4,13
G.Bernard,CIN,27,-0.103,-0.053,60,381,251,2,0.72,0,2017,43,8.8,0.3,5.8,11
O.Darkwa,NYG,-10,-0.073,-0.202,28,116,135,0,0.68,0,2017,19,6.1,0.5,7.1,10
T.J.Yeldon,JAC,28,-0.099,-0.010,41,224,171,0,0.73,0,2017,30,7.5,0.3,5.7,8
E.Elliott,DAL,-17,-0.112,-0.218,38,249,161,2,0.68,0,2017,26,9.6,0.2,6.2,5
C.J.Anderson,DEN,4,-0.132,-0.118,40,224,136,1,0.70,0,2017,28,8.0,0.0,4.9,1
C.Sims,TB,-2,-0.134,-0.145,47,252,197,1,0.74,1,2017,35,7.2,0.0,5.7,1
D.Washington,OAK,-4,-0.136,-0.156,45,197,173,1,0.76,1,2017,34,5.8,0.0,5.1,1
D.Foster,ARI,-13,-0.143,-0.214,28,133,119,0,0.61,0,2017,17,7.8,-0.1,7.0,-1
W.Gallman,NYG,-20,-0.146,-0.214,48,193,183,1,0.71,0,2017,34,5.7,-0.1,5.4,-2
J.Charles,DEN,-15,-0.185,-0.262,28,129,75,0,0.82,0,2017,23,5.6,-0.3,3.3,-6
D.Woodhead,BAL,19,-0.180,-0.051,39,200,137,0,0.85,0,2017,33,6.0,-0.3,4.1,-9
B.Allen,BAL,-17,-0.167,-0.185,60,250,232,2,0.77,0,2017,46,5.4,-0.2,5.0,-10
K.Drake,MIA,-14,-0.191,-0.198,48,239,143,1,0.67,0,2017,32,7.4,-0.4,4.4,-13
J.Ajayi,2TM,-8,-0.236,-0.183,34,158,94,1,0.71,0,2017,24,6.5,-0.7,3.9,-18
M.Lynch,OAK,-26,-0.272,-0.295,31,151,74,0,0.65,0,2017,20,7.5,-1.1,3.7,-23
S.Vereen,NYG,-27,-0.227,-0.233,53,253,154,0,0.83,0,2017,44,5.8,-0.6,3.5,-26
B.Powell,NYJ,-31,-0.304,-0.310,33,170,67,0,0.70,1,2017,23,7.4,-1.3,2.9,-30
C.West,KC,-23,-0.316,-0.271,34,150,61,2,0.79,1,2017,27,5.6,-1.2,2.3,-31
C.Hyde,SF,-65,-0.224,-0.267,89,350,271,0,0.67,0,2017,60,5.9,-0.7,4.5,-43
I.Crowell,CLE,-59,-0.359,-0.385,43,184,62,0,0.67,0,2017,29,6.4,-1.8,2.2,-52
J.Howard,CHI,-51,-0.533,-0.471,32,125,-12,0,0.72,0,2017,23,5.4,-2.6,-0.5,-60
T.Cohen,CHI,-81,-0.306,-0.351,71,356,140,1,0.75,0,2017,53,6.7,-1.2,2.6,-64
A.Collins,BAL,-85,-0.556,-0.523,36,187,-32,0,0.64,2,2017,23,8.1,-4.0,-1.4,-92
C.Clement,PHI,50,0.417,0.418,15,123,168,2,0.67,0,2017,10,12.2,5.0,16.7,50
R.Smith,DAL,56,0.269,0.316,23,202,190,1,0.83,0,2017,19,10.6,2.6,10.0,50
K.Bibbs,WAS,35,0.327,0.303,17,128,131,1,0.82,0,2017,14,9.2,2.6,9.4,36
D.Henry,TEN,32,0.236,0.244,17,136,123,1,0.65,0,2017,11,12.3,2.8,11.1,31
W.Smallwood,PHI,19,0.142,0.040,18,103,139,0,0.72,0,2017,13,7.9,2.3,10.7,30
T.Rawls,SEA,27,0.268,0.249,13,94,107,0,0.69,0,2017,9,10.5,3.1,11.9,28
M.Davis,SEA,33,0.152,0.240,18,131,116,0,0.83,0,2017,15,8.8,1.7,7.8,26
J.Rodgers,TB,23,0.305,0.283,11,74,89,0,0.82,0,2017,9,8.2,2.7,9.9,24
K.Williams,ARI,18,0.116,0.079,15,93,103,0,0.67,0,2017,10,9.3,2.1,10.2,21
D.Sproles,PHI,6,0.127,-0.044,12,73,74,0,0.58,0,2017,7,10.5,2.3,10.6,16
T.Cadet,2TM,9,0.009,-0.049,19,119,101,0,0.84,0,2017,16,7.5,0.9,6.3,15
C.J.Prosise,SEA,11,-0.042,0.054,11,87,55,0,0.55,0,2017,6,14.4,1.0,9.1,6
P.Barber,TB,10,-0.111,-0.043,19,114,85,0,0.84,0,2017,16,7.1,0.2,5.3,3
L.Murray,MIN,10,-0.116,-0.033,17,103,73,0,0.88,0,2017,15,6.9,0.1,4.9,2
T.Bonahon,JAC,-2,-0.132,-0.172,11,43,53,1,0.55,0,2017,6,7.1,0.0,8.8,0
R.Turbin,IND,6,-0.169,0.007,11,56,28,0,0.82,0,2017,9,6.2,-0.1,3.1,-1
J.Develin,NE,-2,-0.169,-0.167,10,38,40,0,0.60,0,2017,6,6.3,-0.3,6.7,-2
D.Cook,MIN,-7,-0.190,-0.206,16,90,62,0,0.69,0,2017,11,8.2,-0.5,5.6,-5
A.Ripkowski,GB,-10,-0.236,-0.291,10,39,33,0,0.70,0,2017,7,5.6,-0.9,4.7,-6
M.Brown,LARM,-7,-0.246,-0.257,11,53,31,0,0.82,0,2017,9,5.9,-0.8,3.4,-7
P.Perkins,NYG,-10,-0.265,-0.320,10,46,24,0,0.80,0,2017,8,5.8,-0.9,3.0,-7
T.Ervin,HOU,-5,-0.320,-0.233,11,38,19,0,0.73,0,2017,8,4.7,-1.2,2.4,-10
D.Martin,TB,-13,-0.304,-0.253,18,84,41,0,0.50,0,2017,9,9.3,-2.0,4.6,-18
J.Stewart,CAR,-14,-0.388,-0.315,15,52,16,1,0.53,0,2017,8,6.5,-2.5,2.0,-20
A.Peterson,2TM,-31,-0.357,-0.432,19,70,28,0,0.58,0,2017,11,6.4,-2.1,2.5,-23
M.Tolbert,BUF,-20,-0.442,-0.387,17,78,7,0,0.82,0,2017,14,5.6,-1.7,0.5,-24
P.DiMarco,BUF,-28,-0.490,-0.540,10,28,-1,0,0.70,0,2017,7,4.0,-3.6,-0.1,-25
B.Oliver,LACH,-40,-0.563,-0.714,11,26,-11,0,0.55,0,2017,6,4.3,-4.8,-1.8,-29
A.Jones,GB,-64,-0.754,-0.797,18,22,-54,0,0.50,0,2017,9,2.4,-6.7,-6.0,-60
K.Hunt,KC,198,0.794,0.797,35,378,560,7,0.74,0,2018,26,14.6,7.6,21.6,198
A.Kamara,NO,203,0.194,0.205,105,709,831,4,0.77,0,2018,81,8.8,2.4,10.3,197
J.White,NE,200,0.135,0.143,123,751,907,7,0.71,0,2018,87,8.6,2.2,10.4,194
T.Cohen,CHI,197,0.213,0.236,91,725,757,5,0.78,1,2018,71,10.2,2.6,10.7,184
C.McCaffrey,CAR,209,0.115,0.152,124,867,894,6,0.86,2,2018,107,8.1,1.7,8.4,183
J.Richard,OAK,144,0.174,0.189,81,607,600,0,0.84,0,2018,68,8.9,2.0,8.8,138
A.Ekeler,LAC,116,0.303,0.254,53,404,481,3,0.74,1,2018,39,10.3,3.3,12.3,131
K.Drake,MIA,99,0.140,0.086,74,477,568,5,0.73,0,2018,54,8.8,2.3,10.5,123
J.Conner,PIT,102,0.152,0.126,71,497,503,1,0.77,1,2018,55,9.1,2.0,9.2,112
M.Breida,SF,113,0.448,0.490,31,261,346,2,0.87,0,2018,27,9.7,3.9,12.8,105
Du.Johnson,CLE,101,0.129,0.124,62,429,488,3,0.76,1,2018,47,9.1,2.2,10.4,103
T.Gurley,LAR,119,0.069,0.115,81,580,538,4,0.73,1,2018,59,9.8,1.7,9.1,98
S.Barkley,NYG,79,-0.007,-0.017,121,721,643,4,0.75,0,2018,91,7.9,0.9,7.1,86
J.Samuels,PIT,96,0.364,0.470,29,199,274,3,0.90,0,2018,26,7.6,3.0,10.5,79
N.Hines,IND,62,0.035,-0.002,81,425,488,2,0.78,0,2018,63,6.7,1.3,7.7,79
T.Coleman,ATL,80,0.172,0.184,44,276,335,5,0.73,1,2018,32,8.6,2.4,10.4,77
T.J.Yeldon,JAX,70,0.030,0.016,79,482,483,4,0.71,0,2018,56,8.6,1.4,8.6,76
K.Juszczyk,SF,82,0.187,0.216,41,324,322,1,0.73,1,2018,30,10.8,2.5,10.8,76
M.Gordon,LAC,82,0.055,0.082,66,490,413,4,0.76,1,2018,50,9.8,1.4,8.2,72
E.Elliott,DAL,59,-0.032,-0.018,95,567,457,3,0.81,0,2018,77,7.4,0.7,5.9,52
A.Peterson,WAS,50,0.223,0.222,26,208,203,1,0.77,1,2018,20,10.4,2.5,10.1,50
J.Rodgers,TB,52,0.071,0.085,45,304,269,0,0.84,1,2018,38,8.0,1.3,7.1,49
W.Smallwood,PHI,35,0.112,0.043,35,230,241,2,0.80,0,2018,28,8.2,1.8,8.6,49
D.Cook,MIN,54,0.021,0.053,49,305,297,2,0.82,0,2018,40,7.6,1.1,7.4,45
E.McGuire,NYJ,29,0.081,0.027,31,193,205,1,0.61,0,2018,19,10.2,2.0,10.8,38
L.Fournette,JAX,40,0.096,0.113,26,185,191,1,0.85,0,2018,22,8.4,1.7,8.6,37
A.Jones,GB,32,0.022,0.019,35,206,212,1,0.74,0,2018,26,8.0,1.3,8.2,33
M.Davis,SEA,16,-0.001,-0.067,42,214,228,1,0.81,0,2018,34,6.3,0.9,6.7,31
C.Clement,PHI,30,0.058,0.064,25,192,163,0,0.88,0,2018,22,8.7,1.3,7.4,29
K.Johnson,DET,41,-0.048,0.043,39,213,203,1,0.82,0,2018,32,6.7,0.6,6.3,20
D.Lewis,TEN,28,-0.098,-0.062,67,400,290,1,0.88,0,2018,59,6.8,0.3,4.9,15
N.Chubb,CLE,10,-0.046,-0.073,29,149,137,2,0.69,0,2018,20,7.4,0.7,6.8,14
J.Williams,GB,3,-0.093,-0.124,41,210,189,0,0.66,0,2018,27,7.8,0.4,7.0,11
I.Crowell,NYJ,-2,-0.068,-0.152,28,152,126,0,0.75,0,2018,21,7.2,0.5,6.0,10
L.Murray,MIN,8,-0.075,-0.087,26,141,124,0,0.85,0,2018,22,6.4,0.4,5.6,9
P.Lindsay,DEN,14,-0.104,-0.085,47,241,206,1,0.74,0,2018,35,6.9,0.3,5.9,9
G.Bernard,CIN,-12,-0.118,-0.187,48,218,179,0,0.73,0,2018,35,6.2,0.1,5.1,5
T.Riddick,DET,-17,-0.127,-0.185,74,384,276,0,0.82,0,2018,61,6.3,0.1,4.5,4
D.Booker,DEN,-10,-0.135,-0.172,51,275,210,0,0.75,1,2018,38,7.2,0.0,5.5,1
T.Montgomery,2TM,6,-0.141,-0.109,40,235,155,0,0.63,0,2018,25,9.3,0.0,6.2,-1
B.Allen,BAL,-14,-0.154,-0.198,43,204,165,2,0.81,1,2018,35,5.9,-0.1,4.7,-4
J.Mixon,CIN,15,-0.153,-0.093,55,296,227,1,0.78,0,2018,43,6.9,-0.1,5.3,-5
M.Ingram,NO,-6,-0.188,-0.180,27,170,90,1,0.78,1,2018,21,8.1,-0.3,4.3,-7
I.Smith,ATL,-2,-0.177,-0.150,32,152,125,0,0.84,0,2018,27,5.7,-0.3,4.7,-8
L.Miller,HOU,-15,-0.199,-0.234,35,163,93,1,0.71,1,2018,25,6.6,-0.4,3.7,-10
C.Thompson,WAS,-3,-0.173,-0.150,56,272,186,1,0.75,0,2018,42,6.5,-0.2,4.4,-10
A.Blue,HOU,-12,-0.205,-0.215,27,154,87,0,0.74,0,2018,20,7.7,-0.5,4.4,-10
M.Mack,IND,-21,-0.213,-0.290,26,110,78,1,0.65,1,2018,17,6.5,-0.6,4.6,-10
J.Howard,CHI,-4,-0.219,-0.166,27,145,85,0,0.74,0,2018,20,7.3,-0.7,4.3,-13
Da.Johnson,ARI,-3,-0.171,-0.145,76,443,268,3,0.66,1,2018,50,8.8,-0.3,5.3,-13
T.Cannon,NYJ,-26,-0.302,-0.320,25,144,47,0,0.68,0,2018,17,8.5,-1.4,2.8,-23
L.McCoy,BUF,-21,-0.245,-0.225,46,238,123,0,0.74,0,2018,34,7.0,-0.8,3.6,-26
P.Barber,TB,-29,-0.351,-0.319,29,92,44,1,0.69,0,2018,20,4.6,-1.7,2.2,-34
S.Ware,KC,79,0.561,0.512,23,224,262,0,0.87,0,2018,20,11.2,4.2,13.1,85
Da.Williams,KC,60,0.339,0.249,24,160,263,2,0.96,0,2018,23,6.9,3.2,11.4,74
F.Gore,MIA,55,0.354,0.415,16,124,171,1,0.75,0,2018,12,10.3,4.1,14.3,49
A.Janovich,DEN,58,0.750,0.955,10,112,136,1,0.80,0,2018,8,14.0,5.9,17.0,47
C.Ivory,BUF,59,0.313,0.421,21,205,173,0,0.62,0,2018,13,15.7,3.6,13.3,47
D.Hilliard,CLE,39,0.704,0.627,10,105,126,0,0.90,0,2018,9,11.7,4.8,14.0,43
C.Carson,SEA,35,0.212,0.150,24,163,177,0,0.83,0,2018,20,8.2,2.2,8.9,43
J.Jackson,LAC,30,0.299,0.225,19,135,135,0,0.79,0,2018,15,9.0,2.5,9.0,37
J.Wilson,SF,25,0.049,0.142,15,98,99,0,0.80,0,2018,12,8.2,1.4,8.3,17
D.Sproles,PHI,16,-0.037,-0.036,23,160,145,2,0.65,0,2018,15,10.7,1.1,9.7,16
C.Grant,JAX,10,0.062,-0.013,12,67,85,0,0.75,0,2018,9,7.4,1.7,9.4,15
T.Mizzell,CHI,18,0.081,0.136,10,78,78,1,0.80,0,2018,8,9.8,1.9,9.8,15
C.J.Ham,MIN,4,0.013,-0.097,15,85,98,0,0.73,0,2018,11,7.8,1.3,8.9,14
R.Penny,SEA,11,0.083,0.070,12,75,60,0,0.75,0,2018,9,8.3,1.3,6.7,12
A.Collins,BAL,14,-0.066,-0.025,21,105,111,1,0.71,0,2018,15,7.0,0.6,7.4,9
A.Morris,SF,2,-0.067,-0.118,13,73,71,0,0.62,0,2018,8,9.1,0.7,8.8,6
R.Burkhead,NE,8,-0.091,-0.065,20,131,92,1,0.70,1,2018,14,9.4,0.4,6.6,5
R.Smith,DAL,-3,-0.090,-0.181,12,60,49,0,0.75,0,2018,9,6.7,0.3,5.4,3
D.Martin,OAK,0,-0.117,-0.139,24,116,95,0,0.75,0,2018,18,6.4,0.2,5.3,3
B.Powell,NYJ,-4,-0.144,-0.176,18,110,72,1,0.61,0,2018,11,10.0,-0.1,6.6,-1
Z.Line,NO,-7,-0.168,-0.238,10,14,47,2,0.50,0,2018,5,2.8,-0.4,9.4,-2
S.Michel,NE,-1,-0.184,-0.154,11,50,40,0,0.64,0,2018,7,7.1,-0.4,5.7,-3
D.Henry,TEN,-12,-0.180,-0.266,18,99,60,0,0.83,1,2018,15,6.6,-0.3,4.0,-4
Z.Zenner,DET,-7,-0.322,-0.252,10,56,20,0,0.70,0,2018,7,8.0,-1.6,2.9,-11
M.Lynch,OAK,-14,-0.285,-0.260,20,84,47,0,0.75,0,2018,15,5.6,-1.1,3.1,-17
K.Ballage,MIA,-12,-0.396,-0.321,11,56,12,0,0.82,0,2018,9,6.2,-1.9,1.3,-17
C.Edmonds,ARI,-23,-0.277,-0.310,23,103,58,0,0.87,0,2018,20,5.1,-0.9,2.9,-19
J.Adams,PHI,-19,-0.379,-0.374,13,58,17,0,0.54,0,2018,7,8.3,-2.7,2.4,-19
R.Freeman,DEN,-17,-0.322,-0.293,20,72,37,0,0.70,0,2018,14,5.1,-1.4,2.6,-20
K.Bibbs,2TM,-32,-0.348,-0.395,23,115,35,1,0.70,1,2018,16,7.1,-1.6,2.2,-26
J.Develin,NE,-30,-0.445,-0.422,17,61,9,0,0.71,0,2018,12,5.1,-2.7,0.7,-32
J.Wilkins,IND,-36,-0.478,-0.503,17,85,1,0,0.94,2,2018,16,5.3,-2.1,0.1,-34
L.Blount,DET,-43,-0.525,-0.572,15,67,-8,0,0.67,1,2018,10,6.7,-3.8,-0.8,-38
W.Gallman,NYG,-43,-0.638,-0.590,22,89,-30,0,0.64,2,2018,14,6.3,-3.3,-2.1,-47
C.Hyde,2TM,-60,-0.733,-0.834,16,33,-44,0,0.63,0,2018,10,3.3,-5.1,-4.4,-51
M.Murphy,BUF,-74,-0.826,-0.807,19,26,-78,0,0.58,0,2018,11,2.4,-6.9,-7.1,-76
C.McCaffrey,CAR,351,0.348,0.304,142,1005,1365,4,0.82,0,2019,116,8.6,3.3,11.7,386
A.Ekeler,LAC,359,0.388,0.451,108,993,1093,8,0.85,2,2019,92,10.8,3.5,11.9,320
M.Ingram,BAL,153,0.746,0.791,29,247,418,5,0.90,0,2019,26,9.5,5.6,16.0,145
D.Cook,MIN,138,0.292,0.275,63,519,535,0,0.84,1,2019,53,9.8,2.7,10.1,144
J.White,NE,179,0.148,0.224,95,645,647,5,0.76,0,2019,72,8.9,2.0,9.0,142
Du.Johnson,HOU,114,0.246,0.215,62,410,481,3,0.71,0,2019,44,9.3,2.8,10.9,125
M.Sanders,PHI,134,0.200,0.237,63,509,504,3,0.79,0,2019,50,10.2,2.4,10.1,121
Da.Johnson,ARI,111,0.292,0.280,47,370,426,4,0.77,1,2019,36,10.2,3.2,11.8,114
J.Williams,GB,103,0.274,0.275,45,253,391,5,0.87,0,2019,39,6.5,2.6,10.0,103
E.Elliott,DAL,87,0.126,0.093,71,420,474,2,0.76,0,2019,54,7.8,1.8,8.8,99
K.Juszczyk,SF,108,0.476,0.535,24,239,317,1,0.83,0,2019,20,12.0,4.9,15.9,98
J.Mixon,CIN,80,0.193,0.172,45,287,363,3,0.78,0,2019,35,8.2,2.5,10.3,86
A.Kamara,NO,44,0.016,-0.057,97,533,558,1,0.84,1,2019,81,6.5,1.0,6.8,83
J.Conner,PIT,93,0.212,0.298,38,251,308,3,0.89,0,2019,34,7.4,2.2,9.1,75
D.Washington,OAK,76,0.211,0.223,41,292,303,0,0.88,0,2019,36,8.1,2.1,8.4,74
K.Hunt,CLE,80,0.142,0.181,44,285,325,1,0.84,0,2019,37,7.7,1.9,8.8,71
B.Scott,PHI,62,0.290,0.259,26,204,250,0,0.92,1,2019,24,8.5,2.8,10.5,67
C.Carson,SEA,39,0.089,0.016,47,266,295,2,0.79,1,2019,37,7.2,1.5,7.9,57
D.Freeman,ATL,55,-0.009,0.001,70,410,388,4,0.84,1,2019,59,7.0,0.9,6.6,51
R.Jones,TB,58,0.092,0.145,40,309,242,0,0.78,1,2019,31,9.9,1.5,7.8,47
J.Richard,OAK,54,0.027,0.086,43,323,252,0,0.84,1,2019,36,8.9,1.1,7.0,39
P.Laird,MIA,51,0.086,0.154,30,204,205,0,0.77,0,2019,23,8.8,1.7,8.9,39
R.Burkhead,NE,27,0.040,-0.008,38,279,227,0,0.71,1,2019,27,10.3,1.4,8.4,37
A.Jones,GB,54,-0.051,-0.005,68,474,359,3,0.72,1,2019,49,9.7,0.7,7.3,35
C.Thompson,WAS,20,-0.021,-0.070,58,378,280,0,0.72,1,2019,42,9.1,0.8,6.7,34
D.Ogunbowale,TB,16,-0.029,-0.083,46,286,267,0,0.76,1,2019,35,8.2,0.9,7.6,31
J.Jacobs,OAK,31,0.046,0.066,27,166,166,0,0.74,0,2019,20,8.3,1.4,8.3,28
Dam.Williams,KC,34,-0.037,0.007,37,213,216,2,0.81,0,2019,30,7.1,0.8,7.2,24
K.Drake,2TM,-25,-0.079,-0.201,68,345,331,0,0.74,0,2019,50,6.9,0.5,6.6,23
T.Coleman,SF,28,0.000,0.027,30,180,168,1,0.70,0,2019,21,8.6,1.1,8.0,23
M.Gordon,LAC,15,-0.073,-0.088,55,296,246,1,0.76,1,2019,42,7.1,0.5,5.9,19
L.Murray,NO,24,-0.056,-0.034,43,235,202,1,0.79,0,2019,34,6.9,0.6,5.9,19
J.Samuels,PIT,23,-0.089,-0.072,57,305,288,1,0.82,1,2019,47,6.5,0.4,6.2,17
D.Montgomery,CHI,8,-0.055,-0.093,35,185,164,1,0.71,0,2019,25,7.4,0.6,6.6,15
J.D.McKissic,DET,-2,-0.082,-0.146,42,233,176,1,0.81,0,2019,34,6.8,0.4,5.2,12
R.Freeman,DEN,15,-0.101,-0.083,50,256,208,1,0.86,0,2019,43,6.0,0.2,4.8,10
C.J.Ham,MIN,2,-0.101,-0.125,26,149,134,1,0.65,0,2019,17,8.8,0.4,7.9,6
D.Lewis,TEN,-8,-0.119,-0.190,32,164,115,1,0.78,0,2019,25,6.6,0.1,4.6,3
L.Bell,NYJ,32,-0.132,-0.065,78,461,315,1,0.85,1,2019,66,7.0,0.0,4.8,3
T.Gurley,LAR,-20,-0.138,-0.210,49,207,197,2,0.63,0,2019,31,6.7,0.0,6.4,0
N.Chubb,CLE,10,-0.153,-0.100,49,278,174,0,0.73,1,2019,36,7.8,-0.1,4.9,-4
L.Fournette,JAX,-28,-0.170,-0.191,101,524,349,0,0.76,1,2019,77,6.8,-0.2,4.5,-17
N.Hines,IND,-1,-0.215,-0.142,58,320,174,0,0.76,1,2019,44,7.3,-0.5,3.9,-24
L.McCoy,KC,-15,-0.322,-0.220,35,181,63,1,0.82,1,2019,29,6.3,-1.2,2.2,-34
T.Cohen,CHI,-51,-0.201,-0.227,104,456,337,3,0.76,1,2019,79,5.8,-0.5,4.3,-36
S.Barkley,NYG,-25,-0.228,-0.199,73,438,218,2,0.71,1,2019,52,8.5,-0.7,4.2,-37
T.Johnson,DET,-60,-0.402,-0.488,31,109,29,0,0.77,1,2019,24,4.6,-1.9,1.2,-45
D.Singletary,BUF,-53,-0.352,-0.377,41,194,61,2,0.71,0,2019,29,6.7,-1.6,2.1,-47
G.Bernard,CIN,-58,-0.385,-0.400,43,234,46,0,0.70,2,2019,30,7.8,-1.8,1.5,-55
P.Lindsay,DEN,-57,-0.397,-0.350,48,196,48,0,0.73,0,2019,35,5.6,-2.0,1.4,-69
R.Mostert,SF,57,0.393,0.351,22,180,211,2,0.64,0,2019,14,12.8,4.4,15.0,62
Dar.Williams,KC,67,0.389,0.483,19,167,195,1,0.79,0,2019,15,11.1,3.8,13.0,57
B.Bolden,NE,52,0.695,0.692,11,111,153,1,0.82,0,2019,9,12.3,5.8,17.0,52
R.Armstead,JAX,46,0.193,0.175,24,144,204,2,0.58,0,2019,14,10.3,3.4,14.7,48
