Player_num,player,team,YAR,DVOA,VOA,QBR,pass,yards,Eyds,TD,FK,FL,INT,comp_perc,ALEX,year,completions,yds_per_comp,DYAR_per_comp,Eyds_per_comp,DYAR
426,M.Sanchez,NYJ,-13,-0.126,-0.115,42.1,581,3220,2930,26,1,6,17,0.57,1.1,2011,332,9.7,-0.2,8.8,-56
427,M.Sanchez,NYJ,197,-0.043,-0.048,51.3,531,3105,3090,17,6,1,13,0.56,2.4,2010,295,10.5,0.7,10.5,212
428,M.Schaub,ATL,231,0.376,0.407,78.9,67,561,655,3,0,1,1,0.77,-0.7,2019,52,10.9,4.2,12.7,217
429,M.Schaub,BAL,-71,-0.384,-0.244,40.8,83,513,232,3,0,0,4,0.65,-0.1,2015,54,9.5,-2.7,4.3,-146
430,M.Schaub,OAK,-158,-2.207,-2.205,0,13,28,-154,0,1,1,2,0.50,-10,2014,7,4.3,-24.3,-23.7,-158
431,M.Schaub,HOU,-115,-0.162,-0.159,38.3,380,2128,1796,10,1,1,14,0.61,1.2,2013,233,9.1,-0.5,7.7,-123
432,M.Schaub,HOU,882,0.075,0.125,59.4,572,3811,3958,22,4,0,12,0.64,-0.5,2012,368,10.4,1.9,10.8,697
433,M.Schaub,HOU,690,0.244,0.239,73.8,307,2370,2541,15,2,1,6,0.62,2.2,2011,189,12.5,3.7,13.4,701
434,M.Schaub,HOU,926,0.122,0.120,61,606,4122,4480,24,5,3,12,0.64,-0.2,2010,390,10.6,2.4,11.5,930
435,M.Simms,NYJ,-52,-0.246,-0.369,6.5,35,133,139,1,0,0,1,0.52,1.6,2013,18,7.4,-1.5,7.7,-27
436,M.Stafford,DET,913,0.149,0.125,61.7,613,4149,4485,29,5,5,10,0.66,2.1,2017,403,10.3,2.5,11.1,1004
437,M.Stafford,DET,275,-0.008,-0.040,51.3,594,3521,3619,21,2,3,11,0.66,1.3,2018,393,9.0,1.0,9.2,396
438,M.Stafford,DET,842,0.288,0.322,69.6,307,2360,2622,19,1,2,5,0.65,3,2019,199,11.9,3.9,13.2,776
439,M.Stafford,DET,768,0.072,0.073,65.2,628,4094,4379,24,1,2,10,0.66,1.7,2016,413,9.9,1.8,10.6,761
440,M.Stafford,DET,637,0.080,0.041,58.3,637,3979,4467,32,1,2,13,0.68,-0.4,2015,431,9.2,1.9,10.4,804
441,M.Stafford,DET,544,-0.007,0.023,44.7,645,3998,3815,22,3,2,12,0.61,2.3,2014,393,10.2,1.1,9.7,423
442,M.Stafford,DET,838,0.049,0.083,53.5,658,4431,4402,29,3,4,19,0.59,2.1,2013,389,11.4,1.8,11.3,690
443,M.Stafford,DET,891,0.122,0.068,57.7,753,4766,5576,20,1,3,17,0.60,2.4,2012,453,10.5,2.6,12.3,1160
444,M.Stafford,DET,1312,0.150,0.181,60.5,700,4772,5203,41,3,1,16,0.64,1,2011,445,10.7,2.6,11.7,1171
445,M.Stafford,DET,80,0.029,0.012,50.1,100,504,645,6,0,1,1,0.59,-1.4,2010,59,8.5,1.5,10.9,91
446,M.Trubisky,CHI,-176,-0.168,-0.195,29.2,362,1981,1542,7,4,2,7,0.60,-2.4,2017,216,9.2,-0.5,7.1,-119
447,M.Trubisky,CHI,540,0.036,0.065,71,457,3082,3059,24,3,2,12,0.67,2.7,2018,305,10.1,1.5,10.0,448
448,M.Trubisky,CHI,15,-0.110,-0.107,39.5,551,2909,2853,17,1,2,9,0.64,1.5,2019,350,8.3,0.0,8.2,5
449,M.Vick,PIT,-184,-0.574,-0.522,20.7,75,321,79,2,1,0,0,0.62,0.5,2015,46,7.0,-4.5,1.7,-207
450,M.Vick,NYJ,-273,-0.368,-0.418,36.1,138,494,408,3,1,1,2,0.54,0.2,2014,75,6.6,-3.0,5.5,-228
451,M.Vick,PHI,49,-0.069,-0.060,67.6,157,1098,819,5,2,2,3,0.55,-0.3,2013,86,12.7,0.5,9.5,40
452,M.Vick,PHI,-108,-0.144,-0.156,49.4,380,2173,1833,12,5,2,10,0.59,2,2012,223,9.8,-0.4,8.2,-78
453,M.Vick,PHI,573,0.108,0.089,67.8,443,3145,3161,18,3,2,13,0.61,1.9,2011,269,11.7,2.3,11.7,628
454,M.Vick,PHI,644,0.141,0.142,70.4,404,2813,3016,21,5,2,6,0.63,4.8,2010,255,11.0,2.5,11.8,641
455,N.Foles,PHI,-63,-0.285,-0.207,28,107,486,374,5,2,1,2,0.56,0.9,2017,60,8.1,-1.9,6.2,-114
456,N.Foles,PHI,142,-0.054,-0.002,65.4,202,1370,1155,7,0,2,4,0.73,-0.3,2018,148,9.3,0.5,7.8,74
457,N.Foles,JAX,-61,-0.213,-0.191,33.6,125,669,508,3,0,2,2,0.66,1.8,2019,83,8.1,-0.9,6.1,-77
458,N.Foles,KC,26,-0.099,-0.042,29.9,59,376,307,3,0,0,0,0.66,-1,2016,39,9.7,0.1,7.9,5
459,N.Foles,STL,-428,-0.279,-0.314,28.9,350,1944,1219,7,2,2,10,0.57,0.6,2015,199,9.8,-1.8,6.1,-353
460,N.Foles,PHI,280,0.018,0.026,63.6,322,2108,2009,13,1,2,10,0.60,3.7,2014,194,10.8,1.4,10.3,264
461,N.Foles,PHI,1111,0.356,0.402,69.5,347,2690,3117,27,2,2,2,0.64,0,2013,223,12.0,4.5,13.9,1011
462,N.Foles,PHI,-158,-0.204,-0.200,48.2,286,1550,1217,6,5,2,5,0.62,0.5,2012,177,8.8,-0.9,6.9,-166
463,N.Mullens,SF,232,0.042,0.013,51.7,287,2151,1893,13,1,0,10,0.65,0.1,2018,187,11.5,1.5,10.1,286
464,N.Peterman,BUF,-195,-0.738,-0.740,10.8,50,244,-15,2,1,0,5,0.50,1.4,2017,25,9.8,-7.8,-0.6,-194
465,N.Peterman,BUF,-500,-0.851,-1.086,8,88,252,-103,1,0,0,7,0.55,-1.2,2018,48,5.2,-7.9,-2.1,-380
466,N.Sudfeld,PHI,-17,-0.245,-0.215,31.1,26,110,102,0,0,0,0,0.83,-11,2017,21,5.1,-1.0,4.7,-22
467,P.Lynch,DEN,-191,-0.763,-0.666,22.9,54,242,-10,2,1,1,3,0.67,2.9,2017,36,6.7,-6.2,-0.3,-224
468,P.Lynch,DEN,-57,-0.188,-0.208,24.1,91,455,419,2,2,0,1,0.60,3,2016,54,8.4,-0.8,7.7,-46
469,P.Mahomes,KC,57,0.117,0.130,64.8,37,269,264,0,0,0,1,0.63,-0.6,2017,23,11.6,2.3,11.3,54
470,P.Mahomes,KC,1904,0.399,0.367,80.3,607,4910,5970,50,3,2,11,0.66,4.5,2018,403,12.2,5.0,14.8,2031
471,P.Mahomes,KC,1354,0.300,0.310,76.3,501,3901,4382,26,0,2,5,0.66,1.5,2019,331,11.8,4.0,13.3,1320
472,P.Manning,DEN,-317,-0.258,-0.254,44.2,346,2156,1339,9,1,0,17,0.60,1.6,2015,208,10.4,-1.6,6.4,-326
473,P.Manning,DEN,1358,0.239,0.226,72.6,615,4589,5166,39,3,2,15,0.67,2.5,2014,409,11.2,3.5,12.6,1412
474,P.Manning,DEN,2674,0.432,0.475,79,679,5347,7040,55,3,5,10,0.69,2,2013,465,11.5,5.3,15.1,2475
475,P.Manning,DEN,1956,0.328,0.365,78.9,602,4526,5751,37,0,2,11,0.69,2.4,2012,415,10.9,4.3,13.8,1805
476,P.Manning,IND,1598,0.190,0.233,71.6,696,4605,5642,33,2,1,16,0.66,3,2010,461,10.0,3.0,12.2,1400
477,P.Rivers,LAC,1505,0.261,0.286,57.4,594,4342,4975,28,6,1,9,0.63,0.9,2017,376,11.5,3.8,13.2,1412
478,P.Rivers,LAC,1216,0.272,0.243,67.8,540,4104,4554,32,0,1,12,0.68,1.7,2018,369,11.1,3.6,12.3,1316
479,P.Rivers,LAC,721,0.066,0.068,48.6,625,4332,4203,23,5,3,20,0.67,2,2019,417,10.4,1.7,10.1,714
480,P.Rivers,SD,435,0.014,-0.002,58.7,615,4120,3872,33,4,5,21,0.61,1.3,2016,373,11.0,1.3,10.4,498
481,P.Rivers,SD,780,0.078,0.063,57.3,704,4503,4755,29,2,2,13,0.67,0.6,2015,468,9.6,1.8,10.2,847
482,P.Rivers,SD,803,0.126,0.096,65.1,609,4086,4365,31,5,2,16,0.67,1.9,2014,408,10.0,2.2,10.7,918
483,P.Rivers,SD,1884,0.348,0.370,75.1,575,4363,5599,32,1,2,11,0.70,2.9,2013,400,10.9,4.5,14.0,1799
